"location","source","target"
"strings_to_translate.php:3 strings_to_translate.php:7 strings_to_translate.php:14 strings_to_translate.php:17 strings_to_translate.php:18 strings_to_translate.php:22","Formato inválido, tem de ter 10 digitos","Μη έγκυρη μορφή, πρέπει να έχεις 10 ψηφία"
"strings_to_translate.php:4","Formato inválido, tem de ter entre 4 a 13 digitos","Μη έγκυρη μορφή, πρέπει να είναι μεταξύ 4 και 13 ψηφίων"
"strings_to_translate.php:5","Formato inválido, tem de ter entre 8 a 9 digitos","Μη έγκυρη μορφή, πρέπει να είναι μεταξύ 8 και 9 ψηφίων"
"strings_to_translate.php:6","Formato inválido, tem de ter 11 digitos","Μη έγκυρη μορφή, πρέπει να έχεις 11 ψηφία"
"strings_to_translate.php:8 strings_to_translate.php:11 strings_to_translate.php:13 strings_to_translate.php:15 strings_to_translate.php:20","Formato inválido, tem de ter 9 digitos","Μη έγκυρη μορφή, πρέπει να έχεις 9 ψηφία"
"strings_to_translate.php:9","Formato inválido, tem de ter entre 4 a 12 digitos","Μη έγκυρη μορφή, πρέπει να είναι μεταξύ 4 και 12 ψηφίων"
"strings_to_translate.php:10 strings_to_translate.php:19","Formato inválido, tem de ter 8 digitos","Μη έγκυρη μορφή, πρέπει να έχεις 8 ψηφία"
"strings_to_translate.php:12","Formato inválido, tem de ter entre 5 a 12 digitos","Μη έγκυρη μορφή, πρέπει να είναι μεταξύ 5 και 12 ψηφίων"
"strings_to_translate.php:16","Formato inválido, tem de ter entre 8 a 11 digitos","Μη έγκυρη μορφή, πρέπει να είναι μεταξύ 8 και 11 ψηφίων"
"strings_to_translate.php:21","Formato inválido, tem de ter entre 7 a 9 digitos","Μη έγκυρη μορφή, πρέπει να είναι μεταξύ 7 και 9 ψηφίων"
"strings_to_translate.php:26","Trabalho por conta de outrém a tempo inteiro","Πλήρης απασχόληση"
"strings_to_translate.php:27","Tenho o meu próprio negócio","Ελεύθερος επαγγελματίας"
"strings_to_translate.php:28","Trabalho por conta de outrém a tempo parcial","Μερική απασχόληση"
"strings_to_translate.php:29","Trabalho em casa","Οικιακά"
"strings_to_translate.php:30","Sou estudante a tempo inteiro","Φοιτητής/ Μαθητής πλήρους απασχόλησης"
"strings_to_translate.php:31","Sou estudante em tempo parcial","Φοιτητής/ Μαθητής μερικής απασχόλησης"
"strings_to_translate.php:32","Estou desempregado","Δεν εργάζομαι"
"strings_to_translate.php:36","Não é um formato válido. ex: Annnn(AAA)","Μη έγκυρη μορφή."
"strings_to_translate.php:37 strings_to_translate.php:38 strings_to_translate.php:40 strings_to_translate.php:51","Não é um formato válido. ex: nnnn","Μη έγκυρη μορφή."
"strings_to_translate.php:41 strings_to_translate.php:42 strings_to_translate.php:43 strings_to_translate.php:45 strings_to_translate.php:48 strings_to_translate.php:49","Não é um formato válido. ex: nnnnn","Μη έγκυρη μορφή."
"strings_to_translate.php:44","Não é um formato válido. ex: FInnnnn","Μη έγκυρη μορφή."
"strings_to_translate.php:46","Não é um formato válido. ex: AA(AA) nAA","Μη έγκυρη μορφή."
"strings_to_translate.php:47","Não é um formato válido. ex: nnn nn","Μη έγκυρη μορφή."
"strings_to_translate.php:50","Não é um formato válido. ex: nnnn AA","Μη έγκυρη μορφή."
"strings_to_translate.php:52","Não é um formato válido. ex: nnnn(-nnn)","Μη έγκυρη μορφή."
"strings_to_translate.php:53","Não é um formato válido. ex: SEnnn nn","Μη έγκυρη μορφή."
"strings_to_translate.php:54","Não é um formato válido. ex: nnnnn-nnnn","Μη έγκυρη μορφή."
"strings_to_translate.php:58","Sozinho (eu sei o que quero e o que é bom para mim)","Μόνος (ξέρω τι θέλω και τι μου πηγαίνει)"
"strings_to_translate.php:59","Com amigos (eles são sempre honestos comigo!)","Με φίλους (θα μου πουν την αλήθεια!)"
"strings_to_translate.php:60","Online (rápido e eficiente)","Online (γρήγορο και άνετο)"
"strings_to_translate.php:61","É outra pessoa que normalmente compras as coisas para mim (eu não tenho tempo nem interesse)","Κάποιος άλλος αγοράζει πράγματα για μένα συνήθως (δεν έχω το χρόνο ούτε το ενδιαφέρον)"
"strings_to_translate.php:62","Nenhuma das respostas anteriores","Κανένα από τα παραπάνω"
"strings_to_translate.php:66","Banca/Finanças/Seguros","Τραπεζικά/ Χρηματοοικονομικά/ Ασφάλειες"
"strings_to_translate.php:67","Antiguidades","Αντίκες"
"strings_to_translate.php:68","Arte/Exposições/Museus","Τέχνη/ Εκθέσεις/ Μουσεία"
"strings_to_translate.php:69","Conferências","Συνέδρια"
"strings_to_translate.php:70","Cozinhar","Μαγειρική"
"strings_to_translate.php:71","Gastronomia","Γαστρονομία"
"strings_to_translate.php:72","Animação online/3D","3D / Online Animation"
"strings_to_translate.php:73","Decoração","Διακόσμηση"
"strings_to_translate.php:74","Bricolage","Μαστορέματα"
"strings_to_translate.php:75","Design","Design"
"strings_to_translate.php:76","Desenho/Artes plásticas","Design/ Εικαστικά"
"strings_to_translate.php:77","Pesca","Ψάρεμα"
"strings_to_translate.php:78","Caça","Κυνήγι"
"strings_to_translate.php:79","Jogo/Poker/Casino","Παιχνίδια/ Πόκερ/ Καζίνο"
"strings_to_translate.php:80","Artesanato","Χειροτεχνίες"
"strings_to_translate.php:81","Internet","Internet"
"strings_to_translate.php:82","Bebidas","Ποτά"
"strings_to_translate.php:83","Tocar música","Μουσική"
"strings_to_translate.php:84","Vinhos","Κρασί"
"strings_to_translate.php:85","Fotografia","Φωτογραφία"
"strings_to_translate.php:86","Vídeo","Video"
"strings_to_translate.php:87","Teatro","Θέατρο"
"strings_to_translate.php:88","Cinema","Σινεμά"
"strings_to_translate.php:89","Vídeojogos","Videogames"
"strings_to_translate.php:90","Computadores","Υπολογιστές"
"strings_to_translate.php:91","Ler revistas","Περιοδικά"
"strings_to_translate.php:92","Fazer compras","Shopping"
"strings_to_translate.php:93","Jogar na bolsa","Επενδύσεις"
"strings_to_translate.php:94","Viajar","Ταξίδια"
"strings_to_translate.php:95","Escrever","Γράψιμο"
"strings_to_translate.php:96","Automóveis ","Αυτοκίνητα"
"strings_to_translate.php:97","Motociclismo","Μηχανές"
