"location","source","target"
"strings_to_translate.php:3 strings_to_translate.php:7 strings_to_translate.php:17 strings_to_translate.php:18 strings_to_translate.php:22","Formato inválido, tem de ter 10 digitos","Invalid format, you must have 10 digits"
"strings_to_translate.php:4","Formato inválido, tem de ter entre 4 a 13 digitos","Invalid format, must be between 4 and 13 digits"
"strings_to_translate.php:5","Formato inválido, tem de ter entre 8 a 9 digitos","Invalid format, must be between 8 and 9 digits"
"strings_to_translate.php:6","Formato inválido, tem de ter 11 digitos","Invalid format, you must have 11 digits"
"strings_to_translate.php:8 strings_to_translate.php:11 strings_to_translate.php:13 strings_to_translate.php:15 strings_to_translate.php:20","Formato inválido, tem de ter 9 digitos","Invalid format, you must have 9 digits"
"strings_to_translate.php:9","Formato inválido, tem de ter entre 4 a 12 digitos","Invalid format, must be between 4 and 12 digits"
"strings_to_translate.php:10 strings_to_translate.php:14 strings_to_translate.php:19","Formato inválido, tem de ter 8 digitos","Invalid format, you must have 8 digits"
"strings_to_translate.php:12","Formato inválido, tem de ter entre 5 a 12 digitos","Invalid format, must be between 5 and 13 digits"
"strings_to_translate.php:16","Formato inválido, tem de ter entre 8 a 11 digitos","Invalid format, must be between 8 and 11 digits"
"strings_to_translate.php:21","Formato inválido, tem de ter entre 7 a 9 digitos","Invalid format, must be between 7 and 9 digits"
"strings_to_translate.php:26","Trabalho por conta de outrém a tempo inteiro","Working full time,"
"strings_to_translate.php:27","Tenho o meu próprio negócio","Running own business"
"strings_to_translate.php:28","Trabalho por conta de outrém a tempo parcial","Working part-time"
"strings_to_translate.php:29","Trabalho em casa","Home duties"
"strings_to_translate.php:30","Sou estudante a tempo inteiro","Student full-time"
"strings_to_translate.php:31","Sou estudante em tempo parcial","Student part-time"
"strings_to_translate.php:32","Estou desempregado","Not working"
"strings_to_translate.php:36","Não é um formato válido. ex: Annnn(AAA)","Not a valid format. ex:Annnn(AAA)"
"strings_to_translate.php:37 strings_to_translate.php:38 strings_to_translate.php:39 strings_to_translate.php:49","Não é um formato válido. ex: nnnn","Not a valid format. ex: nnnn"
"strings_to_translate.php:40 strings_to_translate.php:41 strings_to_translate.php:42 strings_to_translate.php:44 strings_to_translate.php:46 strings_to_translate.php:47","Não é um formato válido. ex: nnnnn","Not a valid format. ex: nnnnn"
"strings_to_translate.php:43","Não é um formato válido. ex: FInnnnn","Not a valid format. ex: FInnnnn"
"strings_to_translate.php:45","Não é um formato válido. ex: AA(AA) nAA","Not a valid format. ex: AA(AA) nAA"
"strings_to_translate.php:48","Não é um formato válido. ex: nnnn AA","Not a valid format. ex: nnnn AA"
"strings_to_translate.php:50","Não é um formato válido. ex: nnnn(-nnn)","Not a valid format. ex: nnnn(-nnn)"
"strings_to_translate.php:51","Não é um formato válido. ex: SEnnn nn","Not a valid format. ex: SEnnn nn"
"strings_to_translate.php:52","Não é um formato válido. ex: nnnnn-nnnn","Not a valid format. ex: nnnnn-nnnn"
"strings_to_translate.php:56","Sozinho (eu sei o que quero e o que é bom para mim)","Alone (I know what I want and what looks good)"
"strings_to_translate.php:57","Com amigos (eles são sempre honestos comigo!)","With friends (they will tell you the truth!)"
"strings_to_translate.php:58","Online (rápido e eficiente)","Online (quick and painless)"
"strings_to_translate.php:59","É outra pessoa que normalmente compras as coisas para mim (eu não tenho tempo nem interesse)","Someone else normally buys things for me (I don't have the time or the interest)"
"strings_to_translate.php:60","Nenhuma das respostas anteriores","None of the above"
"strings_to_translate.php:64","Banca/Finanças/Seguros","Banking/Finance/Insurance"
"strings_to_translate.php:65","Antiguidades","Antiques"
"strings_to_translate.php:66","Arte/Exposições/Museus","Art/Exhibitions/Museums"
"strings_to_translate.php:67","Conferências","Conferences"
"strings_to_translate.php:68","Cozinhar","Cooking"
"strings_to_translate.php:69","Gastronomia","Gastronomy"
"strings_to_translate.php:70","Animação online/3D","3D/Online Animation"
"strings_to_translate.php:71","Decoração","Decoration"
"strings_to_translate.php:72","Bricolage","Bricolage"
"strings_to_translate.php:73","Design","Design"
"strings_to_translate.php:74","Desenho/Artes plásticas","Design/Visual Arts"
"strings_to_translate.php:75","Pesca","Fishery"
"strings_to_translate.php:76","Caça","Hunting"
"strings_to_translate.php:77","Jogo/Poker/Casino","Game/Poker/Casino"
"strings_to_translate.php:78","Artesanato","Handicraft"
"strings_to_translate.php:79","Internet","Internet"
"strings_to_translate.php:80","Bebidas","Drinks"
"strings_to_translate.php:81","Tocar música","Playing music"
"strings_to_translate.php:82","Vinhos","Wines"
"strings_to_translate.php:83","Fotografia","Photography"
"strings_to_translate.php:84","Vídeo","Video"
"strings_to_translate.php:85","Teatro","Theater"
"strings_to_translate.php:86","Cinema","Cinema"
"strings_to_translate.php:87","Vídeojogos","Videogames"
"strings_to_translate.php:88","Computadores","Computers"
"strings_to_translate.php:89","Ler revistas","Reading magazines"
"strings_to_translate.php:90","Fazer compras","Shopping"
"strings_to_translate.php:91","Jogar na bolsa","Invest in stocks"
"strings_to_translate.php:92","Viajar","Travel"
"strings_to_translate.php:93","Escrever","Write"
"strings_to_translate.php:94","Automóveis ","Cars"
"strings_to_translate.php:95","Motociclismo","Motorcycling"
"strings_to_translate.php:96","Vida saudável/Nutrição","Healthy Living/Nutrition"
"strings_to_translate.php:97","Campismo","Camping"
"strings_to_translate.php:98","Ópera","Opera"
"strings_to_translate.php:99","Cosmética/Beleza","Cosmetics/Beauty"
"strings_to_translate.php:100","Férias/Viagens","Vacation / Travel"
"strings_to_translate.php:101","Jardinagem","Gardening"
"strings_to_translate.php:102","Limpeza","Cleaning"
"strings_to_translate.php:103","Literatura/Livros","Literature/Books"
"strings_to_translate.php:104","Moda/Roupa/Acessórios","Fashion/Clothing/Accessories"
"strings_to_translate.php:105","Montanhismo","Mountaineering"
"strings_to_translate.php:106","Música/Concertos","Music/Concerts"
"strings_to_translate.php:107","Negócios","Business affairs"
"strings_to_translate.php:111","Eu adoro ter e experimentar produtos novos, e estou sempre à procura deles.","I love having new products and being able to try them out. I'm always looking for them."
"strings_to_translate.php:112","Eu compro produtos novos, se vir neles conveniência","I buy new products if I realize that they are actually useful"
"strings_to_translate.php:113","Se os meus amigos me recomendarem um produto novo, normalmente compro.","If my friends recommend me a new product, i normally buy it."
"strings_to_translate.php:114","Apenas compro e experimento produtos novos de vez em quando.","I just try and buy new products from time to time."
"strings_to_translate.php:118","Ator","Actor"
"strings_to_translate.php:119","Administrativo","Administrative"
"strings_to_translate.php:120","Advogado","Lawyer"
"strings_to_translate.php:121","Agente de Segurança","Law Enforcement Agent"
"strings_to_translate.php:122","Agricultor","Farmer"
"strings_to_translate.php:123","Analista","Analist"
"strings_to_translate.php:124","Antropólogo","Anthropologist"
"strings_to_translate.php:125","Arqueólogo","Archaeologist"
"strings_to_translate.php:126","Arquiteto","Architect"
"strings_to_translate.php:127","Artista","Artist"
"strings_to_translate.php:128","Auditor","Auditor"
"strings_to_translate.php:129","Bancário","Bank employee"
"strings_to_translate.php:130","Barbeiro","Barber"
"strings_to_translate.php:131","Biólogo","Biologist"
"strings_to_translate.php:132","Bombeiro","Fireman"
"strings_to_translate.php:133","Cabeleireiro","Hairdresser"
"strings_to_translate.php:134","Canalizador","Plumber"
"strings_to_translate.php:135","Carpinteiro","Carpenter"
"strings_to_translate.php:136","Cientista","Cientist"
"strings_to_translate.php:137","Comerciante","Merchant"
"strings_to_translate.php:138","Comunicação","Communication Professional"
"strings_to_translate.php:139","Construtor Civil","House-builder"
"strings_to_translate.php:140","Consultor","Consultant"
"strings_to_translate.php:141","Contabilista","Accountant"
"strings_to_translate.php:142","Cozinheiro","Cook"
"strings_to_translate.php:143","Dançarino","Dancer"
"strings_to_translate.php:144","Decorador","Decorator"
"strings_to_translate.php:145","Dentista","Dentist"
"strings_to_translate.php:146","Designer Gráfico","Graphic Designer"
"strings_to_translate.php:147","Designer de Moda","Fashion Designer"
"strings_to_translate.php:148","Desportista","Athlete"
"strings_to_translate.php:149","Dietista","Dietitian"
"strings_to_translate.php:150","Doméstico","House keeper"
"strings_to_translate.php:151","Economista","Economist"
"strings_to_translate.php:152","Educador de Infância","Childhood educator"
"strings_to_translate.php:153","Eletricista","Electrician"
"strings_to_translate.php:154","Empregado de Bar","Bartender"
"strings_to_translate.php:155","Empregado de Loja","Store employee"
"strings_to_translate.php:156","Empregado de Mesa","Waiter"
"strings_to_translate.php:157","Enfermeiro","Nurse"
"strings_to_translate.php:158","Engenheiro","Engineer"
"strings_to_translate.php:159","Escritor","Writer"
"strings_to_translate.php:160","Escultor","Sculptor"
"strings_to_translate.php:161","Estudante","Student"
"strings_to_translate.php:162","Farmacêutico","Pharmaceutical"
"strings_to_translate.php:163","Físico","Physicist"
"strings_to_translate.php:164","Fisioterapeuta","Physiotherapist"
"strings_to_translate.php:165","Fotógrafo","Photographer"
"strings_to_translate.php:166","Funcionário Público","Government employee"
"strings_to_translate.php:167","Geólogo","Geologist"
"strings_to_translate.php:168","Gestor","Manager"
"strings_to_translate.php:169","Governanta","Housekeeper"
"strings_to_translate.php:170","Historiador","Historian"
"strings_to_translate.php:171","Informático","Computer specialist"
"strings_to_translate.php:172","Jardineiro","Gardener"
"strings_to_translate.php:173","Jornalista","Journalist"
"strings_to_translate.php:174","Juiz","Judge"
"strings_to_translate.php:175","Marinheiro","Sailor"
"strings_to_translate.php:176","Marketeer","Marketeer"
"strings_to_translate.php:177","Massagista","Masseur"
"strings_to_translate.php:178","Matemático","Mathematician"
"strings_to_translate.php:179","Mecânico","Mechanical"
"strings_to_translate.php:180","Médico","Doctor"
"strings_to_translate.php:181","Militar","Military"
"strings_to_translate.php:182","Mineiro","Miner"
"strings_to_translate.php:183","Modelo","Model"
"strings_to_translate.php:184","Motorista","Driver"
"strings_to_translate.php:185","Músico","Musician"
"strings_to_translate.php:186","Nutricionista","Nutritionist"
"strings_to_translate.php:187","Operário","Factory worker"
"strings_to_translate.php:188","Ótico","Ophthalmologist"
"strings_to_translate.php:189","Paisagista","Landscaper"
"strings_to_translate.php:190","Pasteleiro","Pastrycook"
"strings_to_translate.php:191","Pescador","Fisherman"
"strings_to_translate.php:192","Pintor","Painter"
"strings_to_translate.php:193","Polícia","Police officer"
"strings_to_translate.php:194","Professor","Teacher"
"strings_to_translate.php:195","Professor de Fitness","Fitness coach"
"strings_to_translate.php:196","Programador","Programmer"
"strings_to_translate.php:197","Psicólogo","Psychologist"
"strings_to_translate.php:198","Publicitário","Advertiser"
"strings_to_translate.php:199","Químico","Chemist"
"strings_to_translate.php:200","Rececionista","Receptionist"
"strings_to_translate.php:201","Soldador","Welder"
"strings_to_translate.php:202","Talhante","Butcher"
"strings_to_translate.php:203","Taxista","Cab driver"
"strings_to_translate.php:204","Técnico de Saúde","Allied Health"
"strings_to_translate.php:205","Trabalhador da Construção Civil","Construction Worker"
"strings_to_translate.php:206","Trabalho Social","Social work"
"strings_to_translate.php:207","Turismo","Tourism professional"
"strings_to_translate.php:208","Urbanista","Urbanist"
"strings_to_translate.php:209","Vendedor","Seller"
"strings_to_translate.php:210","Veterinário","Veterinarian"
"strings_to_translate.php:211","Vigilante","Vigilant"
"strings_to_translate.php:215","Normalmente faço as coisas sozinho. Assim posso fazer o que quero.","Normally I do things on my own. So I can do whatever I want."
"strings_to_translate.php:216","Se os meus amigos tomarem as decisões, normalmente eu participo sempre","If my friends make the decisions, usually I always participate."
"strings_to_translate.php:217","Quase sempre decidimos em conjunto o que fazer.","We almost always decide together what to do."
"strings_to_translate.php:218","Eu sugiro frequentemente o que devemos fazer e convenço os meus amigos.","I often suggest what we should do and I manage to convince my friends."
"strings_to_translate.php:219","Eu planeio na maior parte das vezes o que fazemos.","I'm the one who plans what we are going to do, most of the times."
"strings_to_translate.php:223","Facebook","Facebook"
"strings_to_translate.php:224","Twitter","Twitter"
"strings_to_translate.php:225","Google +","Google +"
"strings_to_translate.php:226","Myspace","Myspace"
"strings_to_translate.php:227","Orkut","Orkut"
"strings_to_translate.php:228","MSN","MSN"
"strings_to_translate.php:229","LinkedIn","LinkedIn"
"strings_to_translate.php:230","Hi5","Hi5"
"strings_to_translate.php:231","Flickr","Flickr"
"strings_to_translate.php:232","Pinterest","Pinterest"
"strings_to_translate.php:233","Netlog","Netlog"
"strings_to_translate.php:234","Foursquare","Foursquare"
"strings_to_translate.php:235","Bebo","Bebo"
"strings_to_translate.php:236","Istagr.am","Istagr.am"
"strings_to_translate.php:240 strings_to_translate.php:241 strings_to_translate.php:242","Com que frequência usas as seguintes tecnologias?","How often do you use the following technologies?"
"strings_to_translate.php:246 strings_to_translate.php:266 strings_to_translate.php:286 strings_to_translate.php:306 strings_to_translate.php:326 strings_to_translate.php:346 strings_to_translate.php:366","flags","flags"
"strings_to_translate.php:247 strings_to_translate.php:267 strings_to_translate.php:287 strings_to_translate.php:307 strings_to_translate.php:327 strings_to_translate.php:347 strings_to_translate.php:367","Condições de utilização","Terms and conditions of use of the website"
"strings_to_translate.php:248 strings_to_translate.php:268 strings_to_translate.php:288 strings_to_translate.php:308 strings_to_translate.php:328 strings_to_translate.php:348 strings_to_translate.php:368","Entrada","Enter"
"strings_to_translate.php:249 strings_to_translate.php:269 strings_to_translate.php:289 strings_to_translate.php:309 strings_to_translate.php:329 strings_to_translate.php:349 strings_to_translate.php:369","Wom no Mundo","Wom in the World"
"strings_to_translate.php:250 strings_to_translate.php:270 strings_to_translate.php:290 strings_to_translate.php:310 strings_to_translate.php:330 strings_to_translate.php:350 strings_to_translate.php:370","Para empresas","For companies"
"strings_to_translate.php:251 strings_to_translate.php:271 strings_to_translate.php:291 strings_to_translate.php:311 strings_to_translate.php:331 strings_to_translate.php:351 strings_to_translate.php:371","Para embaixadores","For ambassadors"
"strings_to_translate.php:252 strings_to_translate.php:272 strings_to_translate.php:292 strings_to_translate.php:312 strings_to_translate.php:332 strings_to_translate.php:352 strings_to_translate.php:372","Contacta-nos","Contact us"
"strings_to_translate.php:253 strings_to_translate.php:273 strings_to_translate.php:293 strings_to_translate.php:313 strings_to_translate.php:333 strings_to_translate.php:353 strings_to_translate.php:373","Política de privacidade","Privacy Policy"
"strings_to_translate.php:254 strings_to_translate.php:274 strings_to_translate.php:294 strings_to_translate.php:314 strings_to_translate.php:334 strings_to_translate.php:354 strings_to_translate.php:374","Registo","Registration"
"strings_to_translate.php:255 strings_to_translate.php:275 strings_to_translate.php:295 strings_to_translate.php:315 strings_to_translate.php:335 strings_to_translate.php:355 strings_to_translate.php:375","Recuperar Pass","Password recovery"
"strings_to_translate.php:256 strings_to_translate.php:276 strings_to_translate.php:296 strings_to_translate.php:316 strings_to_translate.php:336 strings_to_translate.php:356 strings_to_translate.php:376","Questionários","Questionnaires"
"strings_to_translate.php:257 strings_to_translate.php:277 strings_to_translate.php:297 strings_to_translate.php:317 strings_to_translate.php:337 strings_to_translate.php:357 strings_to_translate.php:377","Questionario Mostra","Questionnaires"
"strings_to_translate.php:258 strings_to_translate.php:278 strings_to_translate.php:298 strings_to_translate.php:318 strings_to_translate.php:338 strings_to_translate.php:358 strings_to_translate.php:378","O meu perfil","My profile"
"strings_to_translate.php:259 strings_to_translate.php:279 strings_to_translate.php:299 strings_to_translate.php:319 strings_to_translate.php:339 strings_to_translate.php:359 strings_to_translate.php:379","Confirmação","Comfirm"
"strings_to_translate.php:260 strings_to_translate.php:280 strings_to_translate.php:300 strings_to_translate.php:320 strings_to_translate.php:340 strings_to_translate.php:360 strings_to_translate.php:380","Campanhas","Campaigns"
"strings_to_translate.php:261 strings_to_translate.php:281 strings_to_translate.php:301 strings_to_translate.php:321 strings_to_translate.php:341 strings_to_translate.php:361 strings_to_translate.php:381","Informação","Information"
"strings_to_translate.php:262 strings_to_translate.php:282 strings_to_translate.php:302 strings_to_translate.php:322 strings_to_translate.php:342 strings_to_translate.php:362 strings_to_translate.php:382","site_entrance",""
"strings_to_translate.php:263 strings_to_translate.php:283 strings_to_translate.php:303 strings_to_translate.php:323 strings_to_translate.php:343 strings_to_translate.php:363 strings_to_translate.php:383","Nova Password","New Password"
