"location","source","target"
"strings_to_translate.php:3 strings_to_translate.php:7 strings_to_translate.php:17 strings_to_translate.php:18 strings_to_translate.php:22","Formato inválido, tem de ter 10 digitos","Formato no válido, debe tener 10 dígitos"
"strings_to_translate.php:4","Formato inválido, tem de ter entre 4 a 13 digitos","Formato no válido, debe tener entre 4 y 13 dígitos"
"strings_to_translate.php:5","Formato inválido, tem de ter entre 8 a 9 digitos","Formato no válido, debe tener entre 8 y 9 dígitos"
"strings_to_translate.php:6","Formato inválido, tem de ter 11 digitos","Formato no válido, debe tener 11 dígitos"
"strings_to_translate.php:8 strings_to_translate.php:11 strings_to_translate.php:13 strings_to_translate.php:15 strings_to_translate.php:20","Formato inválido, tem de ter 9 digitos","Formato no válido, debe tener 9 dígitos"
"strings_to_translate.php:9","Formato inválido, tem de ter entre 4 a 12 digitos","Formato no válido, debe tener entre 4 y 12 dígitos"
"strings_to_translate.php:10 strings_to_translate.php:14 strings_to_translate.php:19","Formato inválido, tem de ter 8 digitos","Formato no válido, debe tener 8 dígitos"
"strings_to_translate.php:12","Formato inválido, tem de ter entre 5 a 12 digitos","Formato no válido, debe tener entre 5 y 12 dígitos"
"strings_to_translate.php:16","Formato inválido, tem de ter entre 8 a 11 digitos","Formato no válido, debe tener entre 8 y 11 dígitos"
"strings_to_translate.php:21","Formato inválido, tem de ter entre 7 a 9 digitos","Formato no válido, debe tener entre 7 y 9 dígitos"
"strings_to_translate.php:26","Trabalho por conta de outrém a tempo inteiro","Trabajo por cuenta ajena a tiempo completo"
"strings_to_translate.php:27","Tenho o meu próprio negócio","Tengo mi propio negocio"
"strings_to_translate.php:28","Trabalho por conta de outrém a tempo parcial","Trabajo por cuenta ajena a tiempo parcial"
"strings_to_translate.php:29","Trabalho em casa","Trabajo en casa"
"strings_to_translate.php:30","Sou estudante a tempo inteiro","Soy estudiante a tiempo completo"
"strings_to_translate.php:31","Sou estudante em tempo parcial","Soy estudiante a tiempo parcial"
"strings_to_translate.php:32","Estou desempregado","Estoy desempleado"
"strings_to_translate.php:36","Não é um formato válido. ex: Annnn(AAA)","No es un formato válido. Ejemplo: Annnn(AAA)"
"strings_to_translate.php:37 strings_to_translate.php:38 strings_to_translate.php:39 strings_to_translate.php:49","Não é um formato válido. ex: nnnn","No es un formato válido. Ejemplo: nnnn"
"strings_to_translate.php:40 strings_to_translate.php:41 strings_to_translate.php:42 strings_to_translate.php:44 strings_to_translate.php:46 strings_to_translate.php:47","Não é um formato válido. ex: nnnnn","No es un formato válido. Ejemplo: nnnnn"
"strings_to_translate.php:43","Não é um formato válido. ex: FInnnnn","No es un formato válido. Ejemplo: FInnnnn"
"strings_to_translate.php:45","Não é um formato válido. ex: AA(AA) nAA","No es un formato válido. Ejemplo: AA(AA) nAA"
"strings_to_translate.php:48","Não é um formato válido. ex: nnnn AA","No es un formato válido. Ejemplo: nnnn AA"
"strings_to_translate.php:50","Não é um formato válido. ex: nnnn(-nnn)","No es un formato válido. Ejemplo: nnnn(-nnn)"
"strings_to_translate.php:51","Não é um formato válido. ex: SEnnn nn","No es un formato válido. Ejemplo: SEnnn nn"
"strings_to_translate.php:52","Não é um formato válido. ex: nnnnn-nnnn","No es un formato válido. Ejemplo: nnnn-nnnnn"
"strings_to_translate.php:56","Sozinho (eu sei o que quero e o que é bom para mim)","Solo (sé lo que quiero y lo que es bueno para mí)"
"strings_to_translate.php:57","Com amigos (eles são sempre honestos comigo!)","Con amigos (¡que son siempre sinceros conmigo!)"
"strings_to_translate.php:58","Online (rápido e eficiente)","Online (rápido y eficiente)"
"strings_to_translate.php:59","É outra pessoa que normalmente compras as coisas para mim (eu não tenho tempo nem interesse)","Hay otra persona que normalmente compra cosas para mí (no tengo tiempo ni interés)"
"strings_to_translate.php:60","Nenhuma das respostas anteriores","Ninguna de las anteriores"
"strings_to_translate.php:64","Banca/Finanças/Seguros","Banca/Finanzas/Seguros"
"strings_to_translate.php:65","Antiguidades","Antigüedades"
"strings_to_translate.php:66","Arte/Exposições/Museus","Arte/Exposiciones/Museos"
"strings_to_translate.php:67","Conferências","Conferencias"
"strings_to_translate.php:68","Cozinhar","Cocina"
"strings_to_translate.php:69","Gastronomia","Gastronomía"
"strings_to_translate.php:70","Animação online/3D","Animación online/3D"
"strings_to_translate.php:71","Decoração","Decoración"
"strings_to_translate.php:72","Bricolage","Bricolaje"
"strings_to_translate.php:73","Design","Diseño"
"strings_to_translate.php:74","Desenho/Artes plásticas","Diseño/Artes plásticas"
"strings_to_translate.php:75","Pesca","Pesca"
"strings_to_translate.php:76","Caça","Caza"
"strings_to_translate.php:77","Jogo/Poker/Casino","Juego/Póker/Casino"
"strings_to_translate.php:78","Artesanato","Artesanía"
"strings_to_translate.php:79","Internet","Internet"
"strings_to_translate.php:80","Bebidas","Bebidas"
"strings_to_translate.php:81","Tocar música","Tocar música"
"strings_to_translate.php:82","Vinhos","Vinos"
"strings_to_translate.php:83","Fotografia","Fotografía"
"strings_to_translate.php:84","Vídeo","Vídeo"
"strings_to_translate.php:85","Teatro","Teatro"
"strings_to_translate.php:86","Cinema","Cine"
"strings_to_translate.php:87","Vídeojogos","Videojuegos"
"strings_to_translate.php:88","Computadores","Ordenadores"
"strings_to_translate.php:89","Ler revistas","Leer revistas"
"strings_to_translate.php:90","Fazer compras","Compras"
"strings_to_translate.php:91","Jogar na bolsa","Invertir en bolsa"
"strings_to_translate.php:92","Viajar","Viajar"
"strings_to_translate.php:93","Escrever","Escribir"
"strings_to_translate.php:94","Automóveis ","Coches"
"strings_to_translate.php:95","Motociclismo","Motos"
"strings_to_translate.php:96","Vida saudável/Nutrição","Vida saludable/Nutrición"
"strings_to_translate.php:97","Campismo","Acampada"
"strings_to_translate.php:98","Ópera","Ópera"
"strings_to_translate.php:99","Cosmética/Beleza","Cosméticos/Belleza"
"strings_to_translate.php:100","Férias/Viagens","Vacaciones/Viajes"
"strings_to_translate.php:101","Jardinagem","Jardinería"
"strings_to_translate.php:102","Limpeza","Limpieza"
"strings_to_translate.php:103","Literatura/Livros","Literatura/Libros"
"strings_to_translate.php:104","Moda/Roupa/Acessórios","Moda/Ropa/Accesorios"
"strings_to_translate.php:105","Montanhismo","Montañismo"
"strings_to_translate.php:106","Música/Concertos","Música/Conciertos"
"strings_to_translate.php:107","Negócios","Negocios"
"strings_to_translate.php:111","Eu adoro ter e experimentar produtos novos, e estou sempre à procura deles.","Me encanta tener productos nuevos y poder probarlos. Los busco siempre."
"strings_to_translate.php:112","Eu compro produtos novos, se vir neles conveniência","Puedo comprar productos nuevos si me doy cuenta de que son realmente útiles."
"strings_to_translate.php:113","Se os meus amigos me recomendarem um produto novo, normalmente compro.","Si mis amigos me recomiendan un producto nuevo, normalmente lo compro."
"strings_to_translate.php:114","Apenas compro e experimento produtos novos de vez em quando.","Trato de probar y comprar productos nuevos de vez en cuando."
"strings_to_translate.php:118","Ator","Actor"
"strings_to_translate.php:119","Administrativo","Administrativo"
"strings_to_translate.php:120","Advogado","Abogado"
"strings_to_translate.php:121","Agente de Segurança","Agente de seguridad"
"strings_to_translate.php:122","Agricultor","Agricultor"
"strings_to_translate.php:123","Analista","Analista"
"strings_to_translate.php:124","Antropólogo","Antropólogo"
"strings_to_translate.php:125","Arqueólogo","Arqueólogo"
"strings_to_translate.php:126","Arquiteto","Arquitecto"
"strings_to_translate.php:127","Artista","Artista"
