"location","source","target"
"strings_to_translate.php:3 strings_to_translate.php:7 strings_to_translate.php:17 strings_to_translate.php:18 strings_to_translate.php:22","Formato inválido, tem de ter 10 digitos","Formato inválido, precisa ter 10 dígitos"
"strings_to_translate.php:4","Formato inválido, tem de ter entre 4 a 13 digitos","Formato inválido, precisa ter entre 4 e 13 dígitos"
"strings_to_translate.php:5","Formato inválido, tem de ter entre 8 a 9 digitos","Formato inválido, precisa ter entre 8 e 9 dígitos"
"strings_to_translate.php:6","Formato inválido, tem de ter 11 digitos","Formato inválido, precisa ter 11 dígitos"
"strings_to_translate.php:8 strings_to_translate.php:11 strings_to_translate.php:13 strings_to_translate.php:15 strings_to_translate.php:20","Formato inválido, tem de ter 9 digitos","Formato inválido, precisa ter 9 dígitos"
"strings_to_translate.php:9","Formato inválido, tem de ter entre 4 a 12 digitos","Formato inválido, precisa ter entre 4 e 12 dígitos"
"strings_to_translate.php:10 strings_to_translate.php:14 strings_to_translate.php:19","Formato inválido, tem de ter 8 digitos","Formato inválido, precisa ter 8 dígitos"
"strings_to_translate.php:12","Formato inválido, tem de ter entre 5 a 12 digitos","Formato inválido, precisa ter entre 5 e 12 dígitos"
"strings_to_translate.php:16","Formato inválido, tem de ter entre 8 a 11 digitos","Formato inválido, precisa ter entre 8 e 11 dígitos"
"strings_to_translate.php:21","Formato inválido, tem de ter entre 7 a 9 digitos","Formato inválido, precisa ter entre 7 e 9 dígitos"
"strings_to_translate.php:26","Trabalho por conta de outrém a tempo inteiro","Sou empregado de tempo integral"
"strings_to_translate.php:27","Tenho o meu próprio negócio","Tenho meu próprio negócio"
"strings_to_translate.php:28","Trabalho por conta de outrém a tempo parcial","Sou empregado de meio expediente"
"strings_to_translate.php:29","Trabalho em casa","Trabalho em casa"
"strings_to_translate.php:30","Sou estudante a tempo inteiro","Sou estudante de tempo integral"
"strings_to_translate.php:31","Sou estudante em tempo parcial","Sou estudante de meio expediente"
"strings_to_translate.php:32","Estou desempregado","Estou desempregado"
