"location","source","target"
"strings_to_translate.php:3 strings_to_translate.php:7 strings_to_translate.php:17 strings_to_translate.php:18 strings_to_translate.php:22","Formato inválido, tem de ter 10 digitos","Formato inválido, tem de ter 10 digitos"
"strings_to_translate.php:4","Formato inválido, tem de ter entre 4 a 13 digitos","Formato inválido, tem de ter entre 4 a 13 digitos"
"strings_to_translate.php:5","Formato inválido, tem de ter entre 8 a 9 digitos","Formato inválido, tem de ter entre 8 a 9 digitos"
"strings_to_translate.php:6","Formato inválido, tem de ter 11 digitos","Formato inválido, tem de ter 11 digitos"
"strings_to_translate.php:8 strings_to_translate.php:11 strings_to_translate.php:13 strings_to_translate.php:15 strings_to_translate.php:20","Formato inválido, tem de ter 9 digitos","Formato inválido, tem de ter 9 digitos"
"strings_to_translate.php:9","Formato inválido, tem de ter entre 4 a 12 digitos","Formato inválido, tem de ter entre 4 a 12 digitos"
"strings_to_translate.php:10 strings_to_translate.php:14 strings_to_translate.php:19","Formato inválido, tem de ter 8 digitos","Formato inválido, tem de ter 8 digitos"
"strings_to_translate.php:12","Formato inválido, tem de ter entre 5 a 12 digitos","Formato inválido, tem de ter entre 5 a 12 digitos"
"strings_to_translate.php:16","Formato inválido, tem de ter entre 8 a 11 digitos","Formato inválido, tem de ter entre 8 a 11 digitos"
"strings_to_translate.php:21","Formato inválido, tem de ter entre 7 a 9 digitos","Formato inválido, tem de ter entre 7 a 9 digitos"
"strings_to_translate.php:26","Trabalho por conta de outrém a tempo inteiro","Trabalho por conta de outrém a tempo inteiro"
"strings_to_translate.php:27","Tenho o meu próprio negócio","Tenho o meu próprio negócio"
"strings_to_translate.php:28","Trabalho por conta de outrém a tempo parcial","Trabalho por conta de outrém a tempo parcial"
"strings_to_translate.php:29","Trabalho em casa","Trabalho em casa"
"strings_to_translate.php:30","Sou estudante a tempo inteiro","Sou estudante a tempo inteiro"
"strings_to_translate.php:31","Sou estudante em tempo parcial","Sou estudante em tempo parcial"
"strings_to_translate.php:32","Estou desempregado","Estou desempregado"
"strings_to_translate.php:36","Não é um formato válido. ex: Annnn(AAA)","Não é um formato válido. ex: Annnn(AAA)"
"strings_to_translate.php:37 strings_to_translate.php:38 strings_to_translate.php:39 strings_to_translate.php:49","Não é um formato válido. ex: nnnn","Não é um formato válido. ex: nnnn"
"strings_to_translate.php:40 strings_to_translate.php:41 strings_to_translate.php:42 strings_to_translate.php:44 strings_to_translate.php:46 strings_to_translate.php:47","Não é um formato válido. ex: nnnnn","Não é um formato válido. ex: nnnnn"
"strings_to_translate.php:43","Não é um formato válido. ex: FInnnnn","Não é um formato válido. ex: FInnnnn"
"strings_to_translate.php:45","Não é um formato válido. ex: AA(AA) nAA","Não é um formato válido. ex: AA(AA) nAA"
"strings_to_translate.php:48","Não é um formato válido. ex: nnnn AA","Não é um formato válido. ex: nnnn AA"
"strings_to_translate.php:50","Não é um formato válido. ex: nnnn(-nnn)","Não é um formato válido. ex: nnnn(-nnn)"
"strings_to_translate.php:51","Não é um formato válido. ex: SEnnn nn","Não é um formato válido. ex: SEnnn nn"
"strings_to_translate.php:52","Não é um formato válido. ex: nnnnn-nnnn","Não é um formato válido. ex: nnnnn-nnnn"
"strings_to_translate.php:56","Sozinho (eu sei o que quero e o que é bom para mim)","Sozinho (eu sei o que quero e o que é bom para mim)"
"strings_to_translate.php:57","Com amigos (eles são sempre honestos comigo!)","Com amigos (eles são sempre honestos comigo!)"
"strings_to_translate.php:58","Online (rápido e eficiente)","Online (rápido e eficiente)"
"strings_to_translate.php:59","É outra pessoa que normalmente compras as coisas para mim (eu não tenho tempo nem interesse)","É outra pessoa que normalmente compras as coisas para mim (eu não tenho tempo nem interesse)"
"strings_to_translate.php:60","Nenhuma das respostas anteriores","Nenhuma das respostas anteriores"
"strings_to_translate.php:64","Banca/Finanças/Seguros","Banca/Finanças/Seguros"
"strings_to_translate.php:65","Antiguidades","Antiguidades"
"strings_to_translate.php:66","Arte/Exposições/Museus","Arte/Exposições/Museus"
"strings_to_translate.php:67","Conferências","Conferências"
"strings_to_translate.php:68","Cozinhar","Cozinhar"
"strings_to_translate.php:69","Gastronomia","Gastronomia"
"strings_to_translate.php:70","Animação online/3D","Animação online/3D"
"strings_to_translate.php:71","Decoração","Decoração"
"strings_to_translate.php:72","Bricolage","Bricolage"
"strings_to_translate.php:73","Design","Design"
"strings_to_translate.php:74","Desenho/Artes plásticas","Desenho/Artes plásticas"
"strings_to_translate.php:75","Pesca","Pesca"
"strings_to_translate.php:76","Caça","Caça"
"strings_to_translate.php:77","Jogo/Poker/Casino","Jogo/Poker/Casino"
"strings_to_translate.php:78","Artesanato","Artesanato"
"strings_to_translate.php:79","Internet","Internet"
"strings_to_translate.php:80","Bebidas","Bebidas"
"strings_to_translate.php:81","Tocar música","Tocar música"
"strings_to_translate.php:82","Vinhos","Vinhos"
"strings_to_translate.php:83","Fotografia","Fotografia"
"strings_to_translate.php:84","Vídeo","Vídeo"
"strings_to_translate.php:85","Teatro","Teatro"
"strings_to_translate.php:86","Cinema","Cinema"
"strings_to_translate.php:87","Vídeojogos","Vídeojogos"
"strings_to_translate.php:88","Computadores","Computadores"
"strings_to_translate.php:89","Ler revistas","Ler revistas"
"strings_to_translate.php:90","Fazer compras","Fazer compras"
"strings_to_translate.php:91","Jogar na bolsa","Jogar na bolsa"
"strings_to_translate.php:92","Viajar","Viajar"
"strings_to_translate.php:93","Escrever","Escrever"
"strings_to_translate.php:94","Automóveis ","Automóveis "
"strings_to_translate.php:95","Motociclismo","Motociclismo"
"strings_to_translate.php:96","Vida saudável/Nutrição","Vida saudável/Nutrição"
"strings_to_translate.php:97","Campismo","Campismo"
"strings_to_translate.php:98","Ópera","Ópera"
"strings_to_translate.php:99","Cosmética/Beleza","Cosmética/Beleza"
"strings_to_translate.php:100","Férias/Viagens","Férias/Viagens"
"strings_to_translate.php:101","Jardinagem","Jardinagem"
"strings_to_translate.php:102","Limpeza","Limpeza"
"strings_to_translate.php:103","Literatura/Livros","Literatura/Livros"
"strings_to_translate.php:104","Moda/Roupa/Acessórios","Moda/Roupa/Acessórios"
"strings_to_translate.php:105","Montanhismo","Montanhismo"
"strings_to_translate.php:106","Música/Concertos","Música/Concertos"
"strings_to_translate.php:107","Negócios","Negócios"
"strings_to_translate.php:111","Eu adoro ter e experimentar produtos novos, e estou sempre à procura deles.","Eu adoro ter e experimentar produtos novos, e estou sempre à procura deles."
"strings_to_translate.php:112","Eu compro produtos novos, se vir neles conveniência","Eu compro produtos novos, se vir neles conveniência"
"strings_to_translate.php:113","Se os meus amigos me recomendarem um produto novo, normalmente compro.","Se os meus amigos me recomendarem um produto novo, normalmente compro."
"strings_to_translate.php:114","Apenas compro e experimento produtos novos de vez em quando.","Apenas compro e experimento produtos novos de vez em quando."
"strings_to_translate.php:118","Ator","Ator"
"strings_to_translate.php:119","Administrativo","Administrativo"
"strings_to_translate.php:120","Advogado","Advogado"
"strings_to_translate.php:121","Agente de Segurança","Agente de Segurança"
"strings_to_translate.php:122","Agricultor","Agricultor"
"strings_to_translate.php:123","Analista","Analista"
"strings_to_translate.php:124","Antropólogo","Antropólogo"
"strings_to_translate.php:125","Arqueólogo","Arqueólogo"
"strings_to_translate.php:126","Arquiteto","Arquiteto"
"strings_to_translate.php:127","Artista","Artista"
"strings_to_translate.php:128","Auditor","Auditor"
"strings_to_translate.php:129","Bancário","Bancário"
"strings_to_translate.php:130","Barbeiro","Barbeiro"
"strings_to_translate.php:131","Biólogo","Biólogo"
"strings_to_translate.php:132","Bombeiro","Bombeiro"
"strings_to_translate.php:133","Cabeleireiro","Cabeleireiro"
"strings_to_translate.php:134","Canalizador","Canalizador"
"strings_to_translate.php:135","Carpinteiro","Carpinteiro"
"strings_to_translate.php:136","Cientista","Cientista"
"strings_to_translate.php:137","Comerciante","Comerciante"
"strings_to_translate.php:138","Comunicação","Comunicação"
"strings_to_translate.php:139","Construtor Civil","Construtor Civil"
"strings_to_translate.php:140","Consultor","Consultor"
